policy,astar,lbm,mcf,milc,omnetpp,average
TriSHiP,0.47107329657401237,0.44074542295769475,0.5285058807870938,0.3227188135875508,0.8526164472624679,0.5231319722337638
SHiP-RRIP,0.4736716679187515,0.44075299300905757,0.5296160266644063,0.3227188135875508,0.8396311384960424,0.5212781279351617
Dynamic Insertion Policy (DIP),0.447305241746871,0.4293946763311538,0.45996989169275515,0.32159098314952533,0.8385037965774138,0.4993529178995438
DRRIP,0.42904665551602433,0.40727521163064895,0.4609941100980156,0.3082543429618312,0.846753076331188,0.4904646793075417
SetDuelDIP,0.4525232462543764,0.4355172342007998,0.4096460657431569,0.24505601135433788,0.8260493525239933,0.4737583820153328
Tri-Insert-RRIP,0.4395512689330013,0.4316821789635843,0.4590171628721541,0.15303735779922809,0.8406869031499962,0.46479497434359274
SA-SHiP,0.46206980254858326,0.4398567743571595,0.47727688262997625,0.32414715743281897,0.6041538672599627,0.4615008968457001
SHiP (Signature-based Hit Predictor),0.4626695629987668,0.4410822902433393,0.5219687496716299,0.3224617479018371,0.5303040244317063,0.4556972750494559
ThrashAware SHiP-RRIP (TASR),0.46422699116925825,0.4399846327957335,0.5257710437663264,0.2785523943315206,0.5642614717478571,0.4545593067621391
Adaptive-SHiP-RRIP,0.435787537739727,0.44057509680203183,0.5296854192483602,0.32516636856702175,0.5378613906269571,0.45381516259681953
SHiP++,0.45731867212859145,0.4401190012074232,0.5283243958907612,0.27425650086533376,0.5439693172125427,0.4487975774609304
Dueling SHiP-RRIP,0.42954542233057874,0.40828546825764817,0.5027922550997534,0.30764969550388493,0.5800084699763198,0.44565626223363697
Fine-Grained Adaptive RRIP (FG-RRIP),0.4354730400147415,0.4372945444635588,0.46727070086226885,0.24448394968753848,0.6408849335822632,0.44508143372207415
DIP-SHiP-RRIP,0.4634881429928135,0.4369641823019769,0.5278862204936768,0.2658095396713904,0.5309005016373299,0.44500971741943757
SHiPPlus,0.4568686303136827,0.43999008319517935,0.507155136300653,0.2620205362897094,0.5319264424310025,0.4395921657060454
DuTriSHiP (Dueling Tri-State SHiP),0.4339501622985443,0.41260231455634516,0.461952147277943,,,0.4361682080442775
